id,name,r10,r9,w10
81,Jupiter High School,78,72,84
151,Suncoast Community High School,92,90,97
395,Alexander W Dreyfoos Jr School,95,94,94
581,Forest Hill Community High School,40,35,59
691,Lake Worth High School,27,34,59
842,Turning Points Academy,13,0,50
862,Atlantic High School,56,52,81
961,Boca Raton Community High School,77,78,89
1361,John I. Leonard High School,40,37,62
1371,Palm Beach Gardens High School,45,46,63
1461,Inlet Grove Community High School,32,36,68
1571,South Tech Academy,49,53,73
1611,Santaluces Community High,41,43,69
1681,Spanish River Community High School,76,75,86
1771,Pahokee Middle-Senior High,26,20,55
1851,Palm Beach Lakes High School,30,27,60
2001,Park Vista Community High School,71,72,81
2181,Olympic Heights Community High,64,66,79
2191,Wellington High School,66,75,80
2201,William T. Dwyer High School,67,59,85
2301,Glades Central High School,24,18,49
2331,Royal Palm Beach High School,46,43,62
2361,Boynton Beach Community High,27,29,57
2411,Indian Ridge School,18,46,50
2631,Palm Beach Central High School,54,60,75
2811,Village Academy On The Art Sara J,29,36,74
3002,Palm Beach County Jail,-1,11,29
3014,Carp,-1,-1,-1
3024,Highridge Family Center,-1,-1,-1
3039,Alternative Program Central,-1,-1,-1
3046,South Area Secondary Intensive Tran,-1,6,-1
3083,Renaissance Learning Academy,-1,-1,-1
3101,Crossroads Academy,-1,10,24
3251,West Boca Raton High School,69,68,83
3347,Leadership Academy West,31,22,56
3355,Riviera Beach Preparatory & Achieve,-1,29,36
3386,Toussaint L'Ouverture High,-1,-1,6
3396,G-Star School Of The Arts,79,68,92
3398,Everglades Preparatory Academy,-1,0,36
3401,Quantum High School,24,12,24
3421,Worthington High School,13,26,25
3443,Riviera Beach Maritime Academy,67,61,63
3861,Seminole Ridge Community High Schoo,60,63,75
3971,Mavericks High School At Palm Sprin,14,13,37
7001,Palm Beach Virtual,-1,,
7004,Palm Beach Virtual Franchise,-1,-1,-1
4013,Somerset Academy Canyons High Sch,,67,
3400,Believers Academy,,-1,-1
2801,Palm Beach Maritime Academy,,55,
3392,Charter School Of Boynton Beach,,27,
1641,Gold Coast Community School,,10,
3344,Tomorrow'S Promise Comm Schl,,,37
