id,name,m6,m7,m8,r6,r7,r8,s8,w8
21,L C Swain Middle School,33,34,30,44,36,36,29,54
121,Howell L. Watkins Middle School,41,42,31,52,39,35,32,63
201,John F. Kennedy Middle School,27,30,25,31,20,20,29,41
311,Roosevelt Middle School,44,50,57,52,48,51,46,64
541,Conniston Middle School,41,41,34,46,45,47,41,58
611,Palm Springs Middle School,47,56,41,50,47,42,36,55
664,Academy For Positive Learning,86,63,-1,64,65,-1,-1,-1
761,Lantana Middle School,59,53,44,57,45,49,38,65
842,Turning Points Academy,-1,0,4,-1,0,15,5,9
881,S. D. Spady Elementary School,70,,,60,,,,
1232,Lake Shore Middle School,22,29,29,30,22,27,20,40
1241,Gove Elementary School,66,,,48,,,,
1491,Boca Raton Community Middle School,61,62,61,66,66,65,59,62
1581,Congress Community Middle School,35,38,42,46,39,53,40,46
1691,Crestwood Community Middle,54,60,50,61,53,55,55,74
1701,Wellington Landings Middle,77,78,81,79,79,82,78,86
1731,Jupiter Middle School,73,64,59,78,74,80,71,77
1751,Loggers' Run Community Middle Schoo,68,80,68,75,68,64,61,69
1771,Pahokee Middle-Senior High,25,33,26,26,32,30,21,50
1821,Christa Mcauliffe Middle School,68,69,57,68,65,69,61,70
1921,Woodlands Middle School,54,62,51,62,60,61,52,59
1971,Watson B. Duncan Middle School,75,74,75,75,73,74,68,83
1981,Bear Lakes Middle School,28,38,26,36,33,32,28,50
1991,Omni Middle School,71,75,65,74,75,73,65,80
2031,Limestone Creek Elementary School,-1,,,-1,,,,
2041,Carver Middle School,30,42,39,42,46,41,30,65
2131,Lake Worth Community Middle,34,34,32,37,32,39,30,55
2151,Okeeheelee Middle School,45,51,35,49,44,49,36,54
2411,Indian Ridge School,-1,-1,8,-1,-1,33,8,36
2451,Western Pines Community Middle,74,78,81,76,73,72,65,74
2461,Eagles Landing Middle School,67,71,50,77,71,76,60,72
2511,Bak Middle School Of The Arts,90,91,86,92,91,92,87,92
2601,Odyssey Middle School,57,51,42,49,45,45,45,47
2611,Polo Park Middle School,66,75,69,70,71,76,65,85
2621,Independence Middle School,82,65,61,81,68,72,69,63
2641,Lakeside Academy,88,,,88,,,,
2661,Joseph Littles-Nguzo Saba,-1,14,-1,-1,38,-1,-1,45
2701,Jeaga Middle School,41,40,44,42,36,42,32,62
2711,Don Estridge High Tech Middle,84,90,71,84,78,76,74,84
2781,Tradewinds Middle School,43,49,21,46,46,47,42,66
2801,Palm Beach Maritime Academy,67,72,59,67,69,64,62,53
2811,Village Academy On The Art Sara J,23,58,24,48,39,25,16,56
2821,Osceola Creek Middle School,68,78,79,72,72,67,65,70
2911,Western Academy Charter School,93,91,95,80,82,76,68,74
3024,Highridge Family Center,-1,-1,46,-1,-1,23,23,23
3046,South Area Secondary Intensive Tran,-1,0,0,-1,0,7,4,22
3101,Crossroads Academy,-1,6,0,-1,12,15,0,52
3371,Emerald Cove Middle School,67,66,37,73,66,68,65,66
3381,Imagine Schools Chancellor Campus,59,76,73,54,54,53,48,34
3382,Glades Academy Elementary School In,100,,,0,,,,
3385,Bright Futures Academy,36,41,60,63,60,63,49,33
3392,Charter School Of Boynton Beach,31,32,19,38,35,35,14,26
3394,Montessori Academy Of Early Enrichm,65,,,61,,,,
3431,Renaissance Charter Schl West Palm,46,31,,52,43,,,
3961,Gardens School Of Technology Arts I,79,74,52,76,59,52,43,48
4000,Renaissance Chart Sch At Palms West,47,,,66,,,,
4002,Renaissance Charter Sch At Summit,49,,,56,,,,
4012,Somerset Academy Canyons Middle Sch,71,68,69,79,62,72,59,66
4020,Franklin Academy Charter School B,41,66,,64,70,,,
4040,Fl Virtual Acad At Palm Bch County,-1,67,-1,70,75,-1,-1,-1
4041,Somerset Academy Boca Middle School,73,,,77,,,,
7004,Palm Beach Virtual Franchise,-1,-1,80,-1,-1,90,82,100
7079,K-8 Flva Virtual School Continuity,-1,-1,-1,-1,-1,-1,-1,-1
3441,South Tech Preparatory Academy,,,39,,,71,46,45
3002,Palm Beach County Jail,,-1,-1,,-1,-1,-1,-1
3014,Carp,,,-1,,,-1,,
2791,Renaissance Learning Center,,-1,,,-1,,,-1
1641,Gold Coast Community School,,0,8,,21,17,13,43
3039,Alternative Program Central,,,-1,,,-1,-1,-1
7001,Palm Beach Virtual,,-1,,,-1,,,
